Id,Label,Domain,Phylum,Class,Order,Family,Genus,OTU.rep,SILVA138_updated_classification,Name,Ecologically_relevant_classification,Ecologically_relevant_classification_aggregated,Ecologically_relevant_classification_aggregated_notes
1988,OTU1988,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,AF288157.1.1529,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacteraceae;Marinobacter;,g_Marinobacter,Marinobacter (Alteromonadales),Alteromonadales,
1851,OTU1851,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,JN874066.1.1482,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacteraceae;Marinobacter;,g_Marinobacter,Marinobacter (Alteromonadales),Alteromonadales,
2870,OTU2870,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,JQ337874.1.1506,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacteraceae;Marinobacter;,g_Marinobacter,Marinobacter (Alteromonadales),Alteromonadales,
1898,OTU1898,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,HQ397070.1.1496,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Aestuariibacter;,g_Aestuariibacter,Aestuariibacter (Alteromonadales),Alteromonadales,
838,OTU838,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,GU118928.1.1458,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Agaribacter;,g_Glaciecola,Agaribacter (Alteromonadales),Alteromonadales,
4704,OTU4704,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,AY167340.1.1444,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;,g_Colwellia,Colwellia (Alteromonadales),Alteromonadales,
4604,OTU4604,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,AY375080.1.1497,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;,g_Colwellia,Colwellia (Alteromonadales),Alteromonadales,
4136,OTU4136,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,EU287171.1.1505,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;,g_Colwellia,Colwellia (Alteromonadales),Alteromonadales,
4540,OTU4540,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,EU617783.1.1502,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;,g_Colwellia,Colwellia (Alteromonadales),Alteromonadales,
4131,OTU4131,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,GU061308.1.1461,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;,g_Colwellia,Colwellia (Alteromonadales),Alteromonadales,
4312,OTU4312,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,JN874224.1.1504,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;,g_Colwellia,Colwellia (Alteromonadales),Alteromonadales,
4292,OTU4292,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,U85841.1.1485,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;,g_Colwellia,Colwellia (Alteromonadales),Alteromonadales,
4359,OTU4359,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,U85845.1.1503,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;,g_Colwellia,Colwellia (Alteromonadales),Alteromonadales,
4683,OTU4683,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,U85846.1.1486,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;,g_Colwellia,Colwellia (Alteromonadales),Alteromonadales,
4246,OTU4246,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,EU286985.1.1497,,g_Colwellia,Colwellia (Alteromonadales),Alteromonadales,
4720,OTU4720,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,GU061318.1.1455,,g_Colwellia,Colwellia (Alteromonadales),Alteromonadales,
2186,OTU2186,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,AJ440215.1.1556,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina;,g_Idiomarina,Idiomarina (Alteromonadales),Alteromonadales,
981,OTU981,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,EU802936.1.1504,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina;,g_Idiomarina,Idiomarina (Alteromonadales),Alteromonadales,
2625,OTU2625,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,AB055794.1.1498,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;,g_Pseudoalteromonas,Pseudoalteromonas,Alteromonadales,
2387,OTU2387,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,AB457051.1.1482,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;,g_Pseudoalteromonas,Pseudoalteromonas,Alteromonadales,
